,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
27350,False,0.09,0.41,0.2,False,False,278.55,518.11,0.76,1.0,6.09,0.5
27355,True,0.32,0.56,0.12,False,True,424.69,868.78,1.76,1.0,4.59,0.41
27360,True,0.26,0.42,0.21,True,False,401.4,472.12,0.45,1.0,7.73,1.32
27363,True,0.05,0.42,0.24,False,False,250.84,159.03,0.61,1.0,4.75,1.87
27365,False,0.24,0.32,0.45,False,False,405.78,616.31,0.21,2.0,16.29,0.53
27370,False,0.13,0.27,0.09,False,False,300.45,282.08,0.31,0.0,3.08,0.62
27375,True,0.18,0.0,0.09,False,False,349.62,243.47,0.62,0.0,2.85,0.98
27380,True,0.21,0.47,0.26,False,False,421.17,497.15,1.82,1.0,3.17,0.78
27385,False,0.16,0.31,0.36,False,False,340.53,321.22,0.52,1.0,7.68,0.16
27390,True,0.3,0.47,0.1,False,False,411.07,1093.09,0.52,1.0,3.69,0.3
27395,False,0.15,0.12,0.15,False,False,378.13,580.0,1.08,1.0,4.87,0.69
27400,True,0.15,0.45,0.27,False,False,405.25,617.46,1.39,1.0,9.01,0.45
27405,False,0.27,0.3,0.21,False,True,375.43,522.61,0.66,2.0,6.63,0.81
27410,False,0.07,0.0,0.46,False,False,262.03,248.06,0.2,0.0,5.6,0.07
27415,True,0.26,0.33,0.0,False,False,434.21,486.42,0.4,1.0,0.0,0.99
27420,True,0.12,0.61,0.0,False,False,431.63,365.76,1.28,1.0,0.0,0.49
27425,False,0.0,0.0,0.55,False,False,241.77,245.17,0.55,0.0,9.96,1.15
27430,False,0.26,0.22,0.33,False,False,411.55,580.34,0.29,1.0,9.02,0.99
27435,True,0.44,0.33,0.15,True,False,525.23,764.21,0.26,2.0,6.16,0.51
27440,False,0.57,0.17,0.44,False,False,418.22,908.91,0.44,0.0,11.5,0.4
27445,True,0.64,0.24,0.27,False,False,624.17,1132.64,0.27,3.0,9.51,0.54
27450,True,0.12,0.54,0.08,False,True,381.44,408.86,1.35,0.0,1.58,0.65
27455,False,0.08,0.27,0.19,False,False,275.47,306.35,1.04,0.0,6.2,0.77
27460,True,0.48,0.36,0.16,False,False,429.95,1059.73,0.98,1.0,7.95,0.68
27465,False,0.02,0.23,0.3,False,False,253.14,451.95,1.02,2.0,10.39,0.59
27470,False,0.09,0.14,0.32,False,False,338.8,335.47,0.6,2.0,6.86,0.7
27475,True,0.37,0.42,0.09,False,False,465.65,558.55,1.11,1.0,2.6,0.7
27480,False,0.23,0.23,0.23,False,False,377.66,657.87,0.2,1.0,7.92,0.65
27485,True,0.1,0.62,0.26,False,False,322.05,491.85,0.98,1.0,6.35,0.88
27490,True,0.5,0.32,0.12,False,False,537.04,1191.95,1.03,2.0,6.06,0.56
