,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
715,False,0.17,0.34,0.2,False,False,412.5,550.29,0.26,5.0,5.99,0.34
719,True,0.07,0.22,0.15,False,False,367.72,310.49,0.29,5.0,4.31,0.77
724,False,0.15,0.11,0.33,False,True,407.32,755.72,0.48,7.0,11.08,0.48
729,True,0.36,0.39,0.3,False,False,488.43,952.27,0.45,5.0,9.54,1.18
734,False,0.67,0.27,0.27,False,True,628.86,1241.01,0.82,6.0,7.69,0.36
739,False,0.31,0.08,0.28,False,False,476.01,726.9,0.67,7.0,6.49,0.35
744,True,0.2,0.2,0.16,False,False,489.97,857.73,1.77,7.0,5.98,0.55
749,True,0.14,0.18,0.33,False,False,303.22,345.81,0.18,5.0,8.09,0.14
754,False,0.29,0.07,0.29,True,False,458.13,692.49,1.19,7.0,9.47,0.65
759,False,0.23,0.3,0.26,False,False,399.74,607.51,1.15,7.0,5.47,0.79
764,True,0.3,0.16,0.33,False,False,485.71,772.18,0.2,6.0,12.64,0.36
769,True,0.19,0.22,0.11,False,False,365.85,413.65,1.75,4.0,2.42,0.63
774,False,0.19,0.15,0.26,False,False,384.19,373.23,0.19,6.0,7.79,0.52
779,False,0.09,0.0,0.14,False,False,295.02,360.29,0.43,5.0,4.41,0.28
784,True,0.05,0.05,0.09,False,False,343.74,494.02,0.62,7.0,2.8,0.57
789,False,0.2,0.24,0.32,False,False,320.98,516.28,1.09,3.0,7.8,0.12
794,True,0.52,0.16,0.2,True,False,487.18,1072.91,1.09,4.0,5.63,0.56
799,True,0.28,0.08,0.04,False,False,507.9,901.7,0.12,8.0,1.5,0.39
804,False,0.2,0.08,0.16,False,False,422.31,409.75,0.32,7.0,3.79,0.36
811,False,0.15,0.38,0.18,False,False,401.55,522.52,0.88,5.0,7.29,0.64
814,True,0.03,0.29,0.18,False,False,329.11,368.32,1.05,5.0,3.89,0.64
819,True,0.05,0.0,0.05,False,False,333.89,263.91,0.11,7.0,0.75,0.32
824,False,0.11,0.0,0.16,False,False,397.42,425.73,0.54,7.0,2.52,0.97
829,False,0.16,0.2,0.23,False,False,409.24,847.57,1.48,7.0,6.58,0.2
834,True,0.26,0.33,0.13,False,True,454.7,1052.76,0.82,6.0,5.56,0.53
839,True,0.13,0.07,0.27,False,False,388.2,470.45,0.77,5.0,6.59,0.5
844,False,0.2,0.27,0.17,False,False,415.83,604.4,0.54,5.0,5.88,0.77
849,False,0.0,0.22,0.15,False,True,281.79,232.09,0.15,5.0,4.55,0.45
854,True,0.11,0.26,0.22,False,False,372.57,416.68,0.67,6.0,6.38,0.75
859,True,0.26,0.22,0.04,False,False,443.52,655.44,0.7,7.0,1.3,0.48
864,False,0.07,0.0,0.26,False,False,359.11,304.89,0.81,8.0,7.67,0.48
869,False,0.0,0.08,0.08,False,False,307.87,274.44,0.31,6.0,2.02,0.89
874,True,0.19,0.12,0.08,False,False,430.88,595.42,1.47,7.0,3.22,0.47
879,False,0.31,0.2,0.27,False,False,379.18,805.25,0.43,5.0,9.33,0.31
884,True,0.08,0.43,0.12,False,False,332.2,366.51,0.86,5.0,2.16,0.63
889,True,0.53,0.33,0.16,False,False,566.35,1075.72,1.71,6.0,3.99,0.2
894,False,0.2,0.0,0.41,True,False,349.94,417.03,0.81,6.0,11.28,0.29
899,False,0.05,0.14,0.28,False,False,329.05,370.95,0.37,5.0,4.71,0.51
904,True,0.51,0.28,0.14,False,False,483.56,788.13,0.37,7.0,4.8,0.55
909,True,0.11,0.28,0.32,False,False,323.19,327.85,0.49,3.0,9.49,0.32
914,False,0.25,0.25,0.25,False,False,353.77,1137.58,1.96,4.0,8.3,0.39
919,False,0.04,0.11,0.11,False,False,264.47,468.86,0.15,5.0,3.45,0.68
924,True,0.19,0.19,0.15,False,False,377.79,507.28,0.38,4.0,5.85,0.75
929,False,0.0,0.0,0.05,False,False,287.92,297.6,0.15,7.0,1.94,0.46
934,True,0.1,0.1,0.05,False,False,379.61,490.27,0.31,7.0,0.0,0.56
939,True,0.3,0.34,0.2,False,False,434.41,719.46,1.99,5.0,4.98,0.61
944,False,0.13,0.24,0.37,False,False,421.82,734.01,0.37,6.0,13.2,1.04
949,False,0.29,0.05,0.17,True,False,531.48,567.5,0.12,8.0,6.62,0.61
954,True,0.15,0.19,0.12,False,False,426.8,578.24,0.22,7.0,5.19,0.75
959,True,0.38,0.32,0.29,False,False,479.19,1172.38,0.68,5.0,8.57,0.53
964,False,0.23,0.29,0.12,False,False,378.49,629.59,0.18,5.0,4.23,0.56
969,True,0.58,0.3,0.18,True,False,463.91,1374.31,0.88,4.0,7.09,0.68
974,False,0.13,0.2,0.4,False,False,300.13,522.41,0.61,3.0,15.02,0.56
983,True,0.19,0.15,0.15,False,False,443.82,429.24,0.15,6.0,3.93,0.65
984,False,0.08,0.08,0.23,False,False,356.3,373.89,0.57,6.0,6.98,0.65
