,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
14663,False,0.15,0.12,0.27,False,True,333.73,702.2,0.19,5.0,8.11,0.58
14668,True,0.39,0.31,0.19,False,False,387.25,748.18,1.35,4.0,5.06,1.04
14673,False,0.25,0.19,0.45,False,False,364.01,521.81,0.48,5.0,16.44,0.6
14678,True,0.51,0.1,0.19,False,False,481.21,710.87,0.1,5.0,6.8,0.92
14683,True,0.31,0.42,0.14,False,False,410.74,690.81,0.56,5.0,6.61,0.64
14688,False,0.14,0.17,0.28,False,False,412.97,725.68,0.61,7.0,8.83,0.58
14693,True,0.27,0.41,0.27,False,False,461.98,691.69,0.3,5.0,7.1,0.59
14698,False,0.27,0.44,0.33,False,False,408.4,736.22,1.57,5.0,11.27,0.5
14703,False,0.11,0.28,0.11,False,True,303.57,253.65,1.24,4.0,3.92,0.25
14708,True,0.53,0.18,0.04,False,False,582.63,993.47,1.34,8.0,0.35,0.53
14713,False,0.12,0.18,0.37,False,False,330.09,318.03,1.05,5.0,7.51,0.43
14718,True,0.12,0.25,0.12,False,False,349.11,196.18,0.0,4.0,3.69,0.68
14723,False,0.04,0.29,0.26,False,False,365.76,263.85,0.59,6.0,7.71,0.88
14728,True,0.51,0.07,0.18,False,False,560.62,981.08,1.18,7.0,6.21,0.51
14732,True,0.19,0.19,0.19,False,False,368.5,417.42,0.15,4.0,6.65,0.27
14738,False,0.38,0.12,0.15,False,False,422.69,602.27,0.27,4.0,6.23,0.54
14743,False,0.04,0.2,0.32,False,False,281.02,370.21,0.0,4.0,7.48,0.56
14748,True,0.28,0.12,0.08,False,False,462.32,768.44,0.92,7.0,3.46,0.4
14753,False,0.51,0.24,0.18,False,False,498.06,1214.72,1.83,7.0,5.83,1.2
14758,True,0.3,0.36,0.27,False,True,513.46,785.76,0.18,8.0,8.44,0.78
14763,False,0.13,0.13,0.13,False,True,323.97,750.7,0.85,4.0,3.99,0.59
