,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
55759,True,0.12,0.35,0.0,False,False,327.05,198.3,1.05,1.0,0.0,0.35
55764,False,0.14,0.35,0.24,False,False,280.03,519.4,1.57,1.0,7.25,2.06
55765,True,0.0,0.22,0.14,False,False,230.83,170.45,0.08,1.0,4.01,1.33
55774,True,0.07,0.75,0.14,False,False,281.34,348.11,0.85,1.0,4.13,1.57
55779,False,0.18,0.21,0.21,False,False,318.45,474.0,0.96,1.0,6.77,2.28
55784,True,0.21,0.6,0.09,False,False,374.23,443.8,0.47,1.0,1.11,1.28
55789,False,0.0,0.21,0.34,False,False,226.79,218.55,1.32,1.0,6.07,1.67
55794,False,0.05,0.22,0.38,False,False,259.46,291.66,2.34,1.0,6.59,1.14
55799,True,0.11,0.6,0.11,True,False,314.44,310.3,1.14,1.0,1.47,1.25
55804,False,0.07,0.2,0.26,False,False,231.32,626.39,1.03,1.0,6.32,2.32
55809,True,0.0,0.83,0.07,False,True,296.79,222.48,0.76,0.0,1.59,1.46
55814,True,0.04,0.4,0.29,False,False,231.83,178.83,0.76,1.0,4.68,1.01
55819,False,0.22,0.14,0.07,False,False,301.76,863.49,0.79,2.0,2.52,1.4
55824,False,0.0,0.06,0.4,False,False,193.58,131.17,0.97,1.0,5.85,1.32
55829,True,0.11,0.29,0.06,False,False,276.28,295.36,0.8,1.0,0.92,0.74
55834,False,0.06,0.39,0.27,False,False,256.04,228.55,0.94,1.0,6.8,1.99
55839,True,0.03,0.76,0.15,False,False,283.72,346.62,1.96,1.0,5.11,2.08
55844,False,0.08,0.56,0.32,False,True,288.28,245.94,0.42,1.0,9.41,2.12
55849,True,0.27,0.24,0.21,False,False,449.26,1033.32,0.61,4.0,6.07,2.2
55854,True,0.26,0.35,0.23,False,False,366.99,937.66,1.58,1.0,6.99,2.08
55859,False,0.0,0.41,0.09,False,True,274.51,355.08,1.23,1.0,1.7,2.43
55864,True,0.03,0.68,0.13,False,False,300.84,435.32,2.13,1.0,3.56,1.13
55869,False,0.03,0.16,0.32,False,False,233.64,469.83,0.78,1.0,7.57,1.07
55874,True,0.11,0.53,0.21,False,True,293.62,445.79,1.3,1.0,6.63,1.9
55879,False,0.0,0.28,0.35,False,False,207.72,244.59,1.34,1.0,9.98,0.49
55884,False,0.13,0.13,0.38,False,False,260.26,422.85,0.69,1.0,5.46,0.31
55889,True,0.31,0.44,0.19,False,True,502.26,621.97,2.39,2.0,2.64,1.07
55894,False,0.11,0.26,0.33,False,False,257.14,257.58,0.84,1.0,10.4,1.46
55898,True,0.11,0.84,0.22,False,True,343.52,349.67,1.39,1.0,4.83,1.5
55904,True,0.0,0.35,0.0,False,True,244.92,237.58,1.54,2.0,0.0,1.78
55909,False,0.0,0.15,0.15,False,False,196.23,208.13,0.64,1.0,1.69,1.54
55914,True,0.3,0.69,0.05,False,False,331.41,464.69,0.89,0.0,1.33,0.64
55919,False,0.0,0.1,0.2,False,False,233.04,350.67,0.64,1.0,2.96,0.74
55924,False,0.06,0.31,0.34,False,False,296.33,649.01,1.62,2.0,9.11,2.95
55929,True,0.03,0.84,0.16,False,False,309.14,88.07,0.96,1.0,3.7,2.36
55934,False,0.0,0.0,0.16,False,False,149.45,3.68,0.0,0.0,3.19,0.0
55938,True,0.16,0.44,0.16,False,True,374.4,443.74,0.88,2.0,2.09,0.77
55944,False,0.28,0.14,0.14,False,False,317.92,754.52,1.67,1.0,3.09,1.17
55949,True,0.04,0.25,0.11,False,False,283.82,290.11,0.71,2.0,2.67,2.1
55954,True,0.05,0.43,0.16,False,True,284.44,189.65,0.33,0.0,3.63,1.14
55959,False,0.05,0.16,0.27,False,False,238.7,297.99,1.57,1.0,3.69,1.36
55964,False,0.19,0.06,0.37,False,False,286.51,208.37,0.68,1.0,8.71,1.67
55969,True,0.31,0.53,0.0,True,False,372.31,536.25,0.22,0.0,0.0,2.29
55974,True,0.02,0.39,0.37,False,False,268.2,189.87,0.6,1.0,11.05,2.05
55979,False,0.23,0.51,0.18,False,False,357.56,627.81,1.11,2.0,5.31,3.0
55984,True,0.19,0.65,0.09,False,False,360.42,421.26,0.56,1.0,2.01,1.26
55989,False,0.05,0.37,0.23,False,False,249.72,248.13,1.73,1.0,4.58,1.03
55994,False,0.21,0.31,0.27,False,False,314.55,536.91,1.44,2.0,7.0,1.1
55999,True,0.34,0.34,0.21,False,False,386.21,501.23,0.65,1.0,6.48,2.13
56004,False,0.05,0.27,0.24,False,False,251.25,782.93,0.68,1.0,7.8,2.09
56009,True,0.12,0.63,0.12,False,False,311.72,761.03,1.17,2.0,3.45,1.26
56014,True,0.07,0.83,0.23,False,False,317.39,499.97,1.73,1.0,6.11,1.73
56019,False,0.0,0.53,0.23,False,False,244.74,254.53,1.56,1.0,6.27,1.83
56024,False,0.04,0.22,0.27,True,False,258.04,282.89,1.79,1.0,5.09,1.83
56029,True,0.13,0.54,0.13,False,False,325.25,359.56,1.07,0.0,2.55,2.01
56034,False,0.04,0.4,0.33,False,False,242.04,283.93,1.2,1.0,8.89,0.62
56039,True,0.11,0.66,0.07,False,False,329.29,585.97,0.77,1.0,2.15,1.24
56044,False,0.03,0.38,0.22,False,False,245.05,173.2,0.6,1.0,3.64,2.17
56049,True,0.13,0.35,0.16,False,False,308.01,481.75,1.54,1.0,4.78,1.82
56059,False,0.17,0.24,0.41,False,True,260.21,259.63,1.7,1.0,9.97,0.54
56064,True,0.04,0.91,0.07,False,False,306.49,335.3,0.56,1.0,0.77,2.56
56069,False,0.14,0.32,0.25,False,False,324.32,1030.0,0.6,2.0,6.74,1.4
56074,False,0.03,0.47,0.21,False,False,234.71,177.44,0.47,0.0,7.78,0.97
56079,True,0.06,0.5,0.18,False,False,301.97,324.74,1.64,1.0,6.66,1.09
56084,False,0.0,0.22,0.33,False,False,195.12,145.88,0.22,0.0,7.35,0.66
56089,True,0.15,0.7,0.04,False,True,337.2,374.44,2.03,1.0,1.33,1.59
56094,False,0.11,0.22,0.38,False,False,264.99,257.26,1.21,0.0,5.21,2.36
56099,True,0.11,0.99,0.05,False,True,367.95,317.21,1.7,2.0,0.66,1.48
56104,False,0.13,0.16,0.32,False,False,273.51,437.01,0.0,1.0,8.9,1.3
56109,True,0.03,0.71,0.13,False,True,304.61,223.08,1.2,1.0,2.11,1.49
